Timestamp,pH,Conductivity (µS/cm),Chlorine (ppm),pH_Anomalous,Conductivity (µS/cm)_Anomalous,Chlorine (ppm)_Anomalous
2024-09-26 13:55:03.899883,0.6712966665011106,False,0.7234075439746066,False,0.7365522740133112,False
2024-09-26 14:10:03.899883,0.2509553956942069,False,0.445831678445958,False,0.4298950583680889,False
2024-09-26 14:25:03.899883,0.4084428244292817,False,0.4475359335868194,False,0.4528185667170302,False
2024-09-26 14:40:03.899883,0.2287746967750743,False,0.3998601987597607,False,0.3390424454669092,False
2024-09-26 14:55:03.899883,0.5978080736229573,False,0.2258559777513134,False,0.6849729997111831,False
2024-09-26 15:10:03.899883,0.5315078982522419,False,0.778902266880021,False,0.657249164308261,False
2024-09-26 15:25:03.899883,0.0921244123736068,False,0.6461600979349071,False,1.343576779252845,True
2024-09-26 15:40:03.899883,0.385387186089783,False,0.5002718887711952,False,0.5788568596967439,False
2024-09-26 15:55:03.899883,0.7077695191624693,False,0.4517160603328098,False,0.473613606651067,False
2024-09-26 16:10:03.899883,0.6350325370207347,False,0.6267562412705081,False,0.7272086580476675,False
2024-09-26 16:25:03.900881,0.4068458405086196,False,0.5132609866552007,False,0.7431053889775727,False
2024-09-26 16:40:03.900881,0.4692872859288223,False,0.2987646636328367,False,0.3691344642575034,False
2024-09-26 16:55:03.900881,0.6502313019276165,False,0.6888395003192058,False,0.5773424722233815,False
2024-09-26 17:10:03.900881,0.4780292790342529,False,0.4907415549469747,False,0.2288078820439212,False
2024-09-26 17:25:03.900881,0.7634081279204414,False,0.5283811980702308,False,0.2708238885868964,False
2024-09-26 17:40:03.900881,0.7409882347261152,False,0.5399843731987837,False,0.5780824521677056,False
2024-09-26 17:55:03.900881,0.4832379404110785,False,0.5479438621830267,False,0.7656296639059528,False
2024-09-26 18:10:03.900881,0.543182915339285,False,0.5988092264030584,False,0.2362682837529977,False
2024-09-26 18:25:03.900881,0.2546507294536592,False,0.6446491433428124,False,0.2975310827185242,False
2024-09-26 18:40:03.900881,0.5749048437610269,False,-0.1164719283522743,True,0.7315215005120537,False
2024-09-26 18:55:03.900881,0.2387968635304599,False,0.2429686381363045,False,0.6072160626450649,False
2024-09-26 19:10:03.900881,0.6093425577011294,False,0.3099433569628246,False,0.3981007342868667,False
2024-09-26 19:25:03.900881,0.765289273066323,False,0.7104075241772143,False,0.7998694878205375,False
2024-09-26 19:40:03.900881,0.1302853985175179,False,0.5355461163204336,False,0.4985437051121816,False
2024-09-26 19:55:03.900881,0.6652769280826869,False,0.6836065085295409,False,0.7332479025655869,False
2024-09-26 20:10:03.900881,0.2683708156600121,False,0.4503950522706719,False,0.5900268836899523,False
2024-09-26 20:25:03.900881,0.5895306145042659,False,0.469301113230618,False,0.4745976097742351,False
2024-09-26 20:40:03.900881,0.7981071503594324,False,0.5772783382227642,False,0.8783680005848922,False
2024-09-26 20:55:03.900881,0.3128434324852694,False,0.808917916790358,False,0.4481567743511696,False
2024-09-26 21:10:03.900881,0.2885952786104656,False,0.4476039940747326,False,0.3517037098167977,False
2024-09-26 21:25:03.900881,0.7196291533347128,False,0.7287625532072348,False,0.7324023289339883,False
2024-09-26 21:40:03.900881,0.4755296026077624,False,0.3608480626940974,False,0.4164222208819524,False
2024-09-26 21:55:03.900881,0.3752234389557562,False,0.356677204295593,False,0.3463916581298203,False
2024-09-26 22:10:03.900881,0.3691240611293166,False,0.2407493231981011,False,0.2533917832200422,False
2024-09-26 22:25:03.900881,0.2857320798393605,False,0.3233349072199413,False,0.5178829204177737,False
2024-09-26 22:40:03.900881,0.7864239740916514,False,0.4153605313183602,False,0.3627971855928459,False
2024-09-26 22:55:03.900881,0.2157661308056644,False,0.7388406955454934,False,0.6672307455299571,False
2024-09-26 23:10:03.900881,0.3888956754607535,False,0.7612200421710356,False,0.7089677609371627,False
2024-09-26 23:25:03.900881,0.6190777163060204,False,0.7646929051546427,False,0.7462478845860983,False
2024-09-26 23:40:03.900881,0.4145449014036322,False,0.6186480278460675,False,0.5954994370771304,False
