Timestamp,Water Volume (L),Flow Rate (L/min)
2024-09-26 13:55:03.908551,0.37357448217151434,0.7453027400712355
2024-09-26 14:10:03.908551,1.4575230565984008,0.5663962246215997
2024-09-26 14:25:03.908551,0.4636160111686819,0.44270626389182244
2024-09-26 14:40:03.908551,0.6048597003160985,0.5349811500724257
2024-09-26 14:55:03.908551,0.3935054842803063,0.6972404654582909
2024-09-26 15:10:03.908551,0.39315971081427403,0.7156145590376106
2024-09-26 15:25:03.908551,1.3582407520850692,0.3416992308878598
2024-09-26 15:40:03.908551,0.5782931343902903,0.2363525899099415
2024-09-26 15:55:03.908551,0.3529195463525391,0.22007558232133065
2024-09-26 16:10:03.908551,0.6254368818942777,0.7996354770487479
2024-09-26 16:25:03.908551,0.595442468360452,0.4713155427937982
2024-09-26 16:40:03.908551,0.5380272309210492,0.3904698547919236
2024-09-26 16:55:03.908551,0.7238064831261499,0.3208099269338556
2024-09-26 17:10:03.908551,0.25452412044874634,0.22644956147757545
2024-09-26 17:25:03.908551,0.7624484062317025,0.306112997682519
2024-09-26 17:40:03.908551,0.5167395991178693,0.4260031660273443
2024-09-26 17:55:03.908551,0.3933132814355721,0.3919499775815839
2024-09-26 18:10:03.908551,0.34346886090820583,0.6169307029479254
2024-09-26 18:25:03.908551,0.2830333697397272,0.5328954919848383
2024-09-26 18:40:03.908551,0.7114309549448292,0.37389144878687663
2024-09-26 18:55:03.908551,0.44716245512764663,0.8122576680424582
2024-09-26 19:10:03.908551,0.635891297011085,0.30843829098189335
2024-09-26 19:25:03.908551,0.44097404786890143,0.2343388091062878
2024-09-26 19:40:03.908551,0.16757530091383083,0.6279062166702636
2024-09-26 19:55:03.908551,0.42769608818595595,0.689200945736436
2024-09-26 20:10:03.908551,0.40286409048227567,0.07008303870350308
2024-09-26 20:25:03.908551,0.24176624664330615,0.493403894079755
2024-09-26 20:40:03.908551,1.3049628644262672,0.3016110316756325
2024-09-26 20:55:03.908551,0.6354746638649228,0.33189023678771656
2024-09-26 21:10:03.908551,0.430388850801374,0.566544244802359
2024-09-26 21:25:03.908551,0.7316121052260822,0.27492144203251895
2024-09-26 21:40:03.908551,1.4912851700398055,0.4078193633561601
2024-09-26 21:55:03.908551,0.5212282609250998,0.6238461346709734
2024-09-26 22:10:03.908551,0.2056627470331931,0.6283829751064804
2024-09-26 22:25:03.908551,0.365365482095113,0.48385045483434214
2024-09-26 22:40:03.908551,0.26144966187683527,0.3553556773604577
