Timestamp,Water Volume,Flow Rate,Status
9/26/2024 13:55,997.5,10,NORMAL
9/26/2024 14:10,994.98,10.08,NORMAL
9/26/2024 14:25,992.44,10.16,NORMAL
9/26/2024 14:40,989.88,10.24,NORMAL
9/26/2024 14:55,987.3,10.31,NORMAL
9/26/2024 15:10,984.71,10.37,NORMAL
9/26/2024 15:25,982.1,10.42,NORMAL
9/26/2024 15:40,979.49,10.46,NORMAL
9/26/2024 15:55,976.87,10.49,NORMAL
9/26/2024 16:10,974.24,10.5,NORMAL
9/26/2024 16:25,971.62,10.5,NORMAL
9/26/2024 16:40,969,10.48,NORMAL
9/26/2024 16:55,966.38,10.45,NORMAL
9/26/2024 17:10,963.78,10.41,NORMAL
9/26/2024 17:25,961.19,10.36,NORMAL
9/26/2024 17:40,958.61,10.3,NORMAL
9/26/2024 17:55,956.06,10.23,NORMAL
9/26/2024 18:10,953.52,10.15,NORMAL
9/26/2024 18:25,951,10.07,NORMAL
9/26/2024 18:40,948.51,9.99,NORMAL
9/26/2024 18:55,946.03,9.9,NORMAL
9/26/2024 19:10,943.57,9.82,NORMAL
9/26/2024 19:25,941.14,9.75,NORMAL
9/26/2024 19:40,938.72,10.84,NORMAL
9/26/2024 19:55,936.31,9.62,NORMAL
9/26/2024 20:10,933.92,9.57,NORMAL
9/26/2024 20:25,931.53,9.54,NORMAL
9/26/2024 20:40,929.16,9.51,NORMAL
9/26/2024 20:55,926.78,9.5,NORMAL
9/26/2024 21:10,924.4,7.49,ANOMALOUS
9/26/2024 21:25,922.02,9.52,NORMAL
9/26/2024 21:40,919.64,9.55,NORMAL
9/26/2024 21:55,917.24,9.59,NORMAL
9/26/2024 22:10,914.83,9.65,NORMAL
9/26/2024 22:25,912.4,9.71,NORMAL
9/26/2024 22:40,909.95,9.78,NORMAL
9/26/2024 22:55,907.49,9.86,NORMAL
9/26/2024 23:10,905,9.94,NORMAL
9/26/2024 23:25,902.5,10.03,NORMAL
9/26/2024 23:40,899.97,10.11,NORMAL
9/26/2024 23:55,897.42,10.19,NORMAL
9/27/2024 0:10,894.86,10.26,NORMAL
9/27/2024 0:25,892.27,10.33,NORMAL
9/27/2024 0:40,889.68,10.39,NORMAL
9/27/2024 0:55,887.07,10.43,NORMAL
9/27/2024 1:10,884.45,10.47,NORMAL
9/27/2024 1:25,881.83,10.49,NORMAL
9/27/2024 1:40,879.2,10.5,NORMAL
9/27/2024 1:55,876.58,10.49,NORMAL
9/27/2024 2:10,873.96,10.48,NORMAL
9/27/2024 2:25,871.35,10.44,NORMAL
9/27/2024 2:40,868.75,10.4,NORMAL
9/27/2024 2:55,866.17,10.34,NORMAL
9/27/2024 3:10,863.6,10.28,NORMAL
9/27/2024 3:25,861.04,10.21,NORMAL
9/27/2024 3:40,858.51,10.13,NORMAL
9/27/2024 3:55,856,10.05,NORMAL
9/27/2024 4:10,853.51,10.33,NORMAL
9/27/2024 4:25,851.04,9.88,NORMAL
9/27/2024 4:40,848.59,9.8,NORMAL
9/27/2024 4:55,846.16,9.73,NORMAL
9/27/2024 5:10,843.74,9.66,NORMAL
9/27/2024 5:25,841.34,9.61,NORMAL
9/27/2024 5:40,838.95,9.56,NORMAL
9/27/2024 5:55,836.57,9.53,NORMAL
9/27/2024 6:10,834.19,9.51,NORMAL
9/27/2024 6:25,831.82,9.5,NORMAL
9/27/2024 6:40,829.44,9.51,NORMAL
9/27/2024 6:55,827.06,9.53,NORMAL
9/27/2024 7:10,824.67,9.56,NORMAL
9/27/2024 7:25,822.27,9.61,NORMAL
9/27/2024 7:40,819.85,9.67,NORMAL
9/27/2024 7:55,817.42,9.73,NORMAL
9/27/2024 8:10,814.97,9.81,NORMAL
9/27/2024 8:25,812.49,8.83,NORMAL
9/27/2024 8:40,810,9.97,NORMAL
9/27/2024 8:55,807.49,10.05,NORMAL
9/27/2024 9:10,804.96,10.13,NORMAL
9/27/2024 9:25,802.4,10.21,NORMAL
9/27/2024 9:40,799.83,10.28,NORMAL
9/27/2024 9:55,797.25,10.35,NORMAL
9/27/2024 10:10,794.65,10.4,NORMAL
9/27/2024 10:25,792.04,10.45,NORMAL
9/27/2024 10:40,789.42,10.48,NORMAL
9/27/2024 10:55,786.79,10.5,NORMAL
9/27/2024 11:10,784.17,10.5,NORMAL
9/27/2024 11:25,781.54,10.49,NORMAL
