Timestamp,Dispensing Rate,Status
9/26/2024 13:55,2.77,ANOMALOUS
9/26/2024 14:10,2.02,NORMAL
9/26/2024 14:25,2.05,NORMAL
9/26/2024 14:40,2.07,NORMAL
9/26/2024 14:55,2.1,NORMAL
9/26/2024 15:10,2.12,NORMAL
9/26/2024 15:25,2.14,NORMAL
9/26/2024 15:40,2.15,NORMAL
9/26/2024 15:55,2.17,NORMAL
9/26/2024 16:10,2.18,NORMAL
9/26/2024 16:25,2.19,NORMAL
9/26/2024 16:40,2.2,NORMAL
9/26/2024 16:55,2.2,NORMAL
9/26/2024 17:10,2.2,NORMAL
9/26/2024 17:25,2.2,NORMAL
9/26/2024 17:40,2.19,NORMAL
9/26/2024 17:55,2.18,NORMAL
9/26/2024 18:10,2.17,NORMAL
9/26/2024 18:25,2.16,NORMAL
9/26/2024 18:40,2.14,NORMAL
9/26/2024 18:55,2.12,NORMAL
9/26/2024 19:10,2.1,NORMAL
9/26/2024 19:25,2.08,NORMAL
9/26/2024 19:40,2.05,NORMAL
9/26/2024 19:55,2.03,NORMAL
9/26/2024 20:10,2,NORMAL
9/26/2024 20:25,1.98,NORMAL
9/26/2024 20:40,1.95,NORMAL
9/26/2024 20:55,1.93,NORMAL
9/26/2024 21:10,1.91,NORMAL
9/26/2024 21:25,1.89,NORMAL
9/26/2024 21:40,1.87,NORMAL
9/26/2024 21:55,1.85,NORMAL
9/26/2024 22:10,1.83,NORMAL
9/26/2024 22:25,1.82,NORMAL
9/26/2024 22:40,1.81,NORMAL
9/26/2024 22:55,1.8,NORMAL
9/26/2024 23:10,1.8,NORMAL
9/26/2024 23:25,1.8,NORMAL
9/26/2024 23:40,1.8,NORMAL
9/26/2024 23:55,1.81,NORMAL
9/27/2024 0:10,1.82,NORMAL
9/27/2024 0:25,1.83,NORMAL
9/27/2024 0:40,1.84,NORMAL
9/27/2024 0:55,1.86,NORMAL
9/27/2024 1:10,1.88,NORMAL
9/27/2024 1:25,1.9,NORMAL
9/27/2024 1:40,1.92,NORMAL
9/27/2024 1:55,1.94,NORMAL
9/27/2024 2:10,1.97,NORMAL
9/27/2024 2:25,1.99,NORMAL
9/27/2024 2:40,2.02,NORMAL
9/27/2024 2:55,2.04,NORMAL
9/27/2024 3:10,2.07,NORMAL
9/27/2024 3:25,2.09,NORMAL
9/27/2024 3:40,2.11,NORMAL
9/27/2024 3:55,2.13,NORMAL
9/27/2024 4:10,2.15,NORMAL
9/27/2024 4:25,2.16,NORMAL
9/27/2024 4:40,2.18,NORMAL
9/27/2024 4:55,2.19,NORMAL
9/27/2024 5:10,2.19,NORMAL
9/27/2024 5:25,2.2,NORMAL
9/27/2024 5:40,2.64,ANOMALOUS
9/27/2024 5:55,2.2,NORMAL
9/27/2024 6:10,2.19,NORMAL
9/27/2024 6:25,2.18,NORMAL
9/27/2024 6:40,2.17,NORMAL
9/27/2024 6:55,2.16,NORMAL
9/27/2024 7:10,2.14,NORMAL
9/27/2024 7:25,2.12,NORMAL
9/27/2024 7:40,2.1,NORMAL
9/27/2024 7:55,2.08,NORMAL
9/27/2024 8:10,2.06,NORMAL
9/27/2024 8:25,2.03,NORMAL
9/27/2024 8:40,2.01,NORMAL
9/27/2024 8:55,1.98,NORMAL
9/27/2024 9:10,1.96,NORMAL
9/27/2024 9:25,1.94,NORMAL
9/27/2024 9:40,1.91,NORMAL
9/27/2024 9:55,1.89,NORMAL
9/27/2024 10:10,1.87,NORMAL
9/27/2024 10:25,1.85,NORMAL
9/27/2024 10:40,1.84,NORMAL
9/27/2024 10:55,1.82,NORMAL
9/27/2024 11:10,1.81,NORMAL
9/27/2024 11:25,1.81,NORMAL
9/27/2024 11:40,1.8,NORMAL
9/27/2024 11:55,0.93,ANOMALOUS
9/27/2024 12:10,1.8,NORMAL
9/27/2024 12:25,1.81,NORMAL
9/27/2024 12:40,1.81,NORMAL
9/27/2024 12:55,1.82,NORMAL
9/27/2024 13:10,1.84,NORMAL
9/27/2024 13:25,1.85,NORMAL
9/27/2024 13:40,1.87,NORMAL
9/27/2024 13:55,1.89,NORMAL
9/27/2024 14:10,1.91,NORMAL
9/27/2024 14:25,1.94,NORMAL
9/27/2024 14:40,1.96,NORMAL
9/27/2024 14:55,1.99,NORMAL
9/27/2024 15:10,2.01,NORMAL
9/27/2024 15:25,2.09,NORMAL
9/27/2024 15:40,2.06,NORMAL
9/27/2024 15:55,2.08,NORMAL
9/27/2024 16:10,2.99,ANOMALOUS
9/27/2024 16:25,2.13,NORMAL
9/27/2024 16:40,2.14,NORMAL
9/27/2024 16:55,2.16,NORMAL
9/27/2024 17:10,2.17,NORMAL
9/27/2024 17:25,2.19,NORMAL
9/27/2024 17:40,2.19,NORMAL
9/27/2024 17:55,2.2,NORMAL
9/27/2024 18:10,2.2,NORMAL
9/27/2024 18:25,2.2,NORMAL
9/27/2024 18:40,2.19,NORMAL
9/27/2024 18:55,2.19,NORMAL
9/27/2024 19:10,2.18,NORMAL
9/27/2024 19:25,2.16,NORMAL
9/27/2024 19:40,2.15,NORMAL
9/27/2024 19:55,2.13,NORMAL
9/27/2024 20:10,2.11,NORMAL
9/27/2024 20:25,2.09,NORMAL
9/27/2024 20:40,2.07,NORMAL
9/27/2024 20:55,2.94,ANOMALOUS
9/27/2024 21:10,2.02,NORMAL
9/27/2024 21:25,1.99,NORMAL
9/27/2024 21:40,1.97,NORMAL
9/27/2024 21:55,1.94,NORMAL
9/27/2024 22:10,1.92,NORMAL
9/27/2024 22:25,1.9,NORMAL
9/27/2024 22:40,1.88,NORMAL
