Timestamp,Water Volume,Flow Rate,Status
9/26/2024 13:58,997.5,10,NORMAL
9/26/2024 14:13,994.98,10.08,NORMAL
9/26/2024 14:28,992.44,10.16,NORMAL
9/26/2024 14:43,989.88,10.24,NORMAL
9/26/2024 14:58,987.3,10.31,NORMAL
9/26/2024 15:13,984.71,10.37,NORMAL
9/26/2024 15:28,982.1,10.42,NORMAL
9/26/2024 15:43,979.49,10.46,NORMAL
9/26/2024 15:58,976.87,10.49,NORMAL
9/26/2024 16:13,974.24,10.5,NORMAL
9/26/2024 16:28,971.62,10.5,NORMAL
9/26/2024 16:43,969,10.48,NORMAL
9/26/2024 16:58,966.38,10.45,NORMAL
9/26/2024 17:13,963.78,10.41,NORMAL
9/26/2024 17:28,961.19,10.36,NORMAL
9/26/2024 17:43,958.61,10.3,NORMAL
9/26/2024 17:58,956.06,10.23,NORMAL
9/26/2024 18:13,953.52,10.15,NORMAL
9/26/2024 18:28,951,10.07,NORMAL
9/26/2024 18:43,948.51,9.99,NORMAL
9/26/2024 18:58,946.03,9.9,NORMAL
9/26/2024 19:13,943.57,9.82,NORMAL
9/26/2024 19:28,941.14,9.75,NORMAL
9/26/2024 19:43,938.72,7.43,ANOMALOUS
9/26/2024 19:58,936.31,9.62,NORMAL
9/26/2024 20:13,933.92,9.57,NORMAL
9/26/2024 20:28,931.53,9.54,NORMAL
9/26/2024 20:43,929.16,9.51,NORMAL
9/26/2024 20:58,926.78,9.5,NORMAL
9/26/2024 21:13,924.4,9.5,NORMAL
9/26/2024 21:28,922.02,10.2,NORMAL
9/26/2024 21:43,919.64,9.55,NORMAL
9/26/2024 21:58,917.24,9.59,NORMAL
9/26/2024 22:13,914.83,9.65,NORMAL
9/26/2024 22:28,912.4,9.71,NORMAL
9/26/2024 22:43,909.95,9.78,NORMAL
9/26/2024 22:58,907.49,9.86,NORMAL
9/26/2024 23:13,905,9.94,NORMAL
9/26/2024 23:28,902.5,9.4,NORMAL
9/26/2024 23:43,899.97,10.11,NORMAL
9/26/2024 23:58,897.42,10.19,NORMAL
9/27/2024 0:13,894.86,10.26,NORMAL
9/27/2024 0:28,892.27,8.09,NORMAL
9/27/2024 0:43,889.68,10.39,NORMAL
9/27/2024 0:58,887.07,10.43,NORMAL
9/27/2024 1:13,884.45,10.47,NORMAL
9/27/2024 1:28,881.83,10.49,NORMAL
9/27/2024 1:43,879.2,10.5,NORMAL
9/27/2024 1:58,876.58,10.49,NORMAL
9/27/2024 2:13,873.96,10.48,NORMAL
9/27/2024 2:28,871.35,10.44,NORMAL
9/27/2024 2:43,868.75,10.4,NORMAL
9/27/2024 2:58,866.17,10.34,NORMAL
9/27/2024 3:13,863.6,10.28,NORMAL
9/27/2024 3:28,861.04,10.21,NORMAL
9/27/2024 3:43,858.51,10.13,NORMAL
9/27/2024 3:58,856,10.05,NORMAL
9/27/2024 4:13,853.51,9.96,NORMAL
9/27/2024 4:28,851.04,9.88,NORMAL
9/27/2024 4:43,848.59,9.8,NORMAL
9/27/2024 4:58,846.16,9.73,NORMAL
9/27/2024 5:13,843.74,9.66,NORMAL
9/27/2024 5:28,841.34,9.61,NORMAL
9/27/2024 5:43,838.95,9.56,NORMAL
9/27/2024 5:58,836.57,9.53,NORMAL
9/27/2024 6:13,834.19,6.61,ANOMALOUS
9/27/2024 6:28,831.82,9.5,NORMAL
9/27/2024 6:43,829.44,9.51,NORMAL
9/27/2024 6:58,827.06,9.53,NORMAL
9/27/2024 7:13,824.67,9.56,NORMAL
9/27/2024 7:28,822.27,9.61,NORMAL
9/27/2024 7:43,819.85,9.67,NORMAL
9/27/2024 7:58,817.42,9.73,NORMAL
9/27/2024 8:13,814.97,9.81,NORMAL
9/27/2024 8:28,812.49,7.45,ANOMALOUS
9/27/2024 8:43,810,9.97,NORMAL
9/27/2024 8:58,807.49,13.68,ANOMALOUS
9/27/2024 9:13,804.96,10.13,NORMAL
9/27/2024 9:28,802.4,10.21,NORMAL
9/27/2024 9:43,799.83,10.28,NORMAL
9/27/2024 9:58,797.25,10.35,NORMAL
9/27/2024 10:13,794.65,10.4,NORMAL
9/27/2024 10:28,792.04,10.45,NORMAL
9/27/2024 10:43,789.42,10.48,NORMAL
9/27/2024 10:58,786.79,10.5,NORMAL
9/27/2024 11:13,784.17,10.5,NORMAL
9/27/2024 11:28,781.54,10.49,NORMAL
9/27/2024 11:43,778.93,10.47,NORMAL
9/27/2024 11:58,776.32,10.43,NORMAL
9/27/2024 12:13,773.72,10.38,NORMAL
9/27/2024 12:28,771.14,10.33,NORMAL
9/27/2024 12:43,768.58,9.61,NORMAL
9/27/2024 12:58,766.03,10.18,NORMAL
9/27/2024 13:13,763.51,10.1,NORMAL
9/27/2024 13:28,761,10.02,NORMAL
9/27/2024 13:43,758.52,9.94,NORMAL
9/27/2024 13:58,756.05,9.86,NORMAL
9/27/2024 14:13,753.61,9.78,NORMAL
9/27/2024 14:28,751.18,9.71,NORMAL
9/27/2024 14:43,748.77,9.64,NORMAL
9/27/2024 14:58,746.37,9.59,NORMAL
9/27/2024 15:13,743.99,9.55,NORMAL
9/27/2024 15:28,741.61,9.52,NORMAL
9/27/2024 15:43,739.23,9.5,NORMAL
9/27/2024 15:58,736.85,9.5,NORMAL
9/27/2024 16:13,734.48,9.51,NORMAL
9/27/2024 16:28,732.09,9.54,NORMAL
9/27/2024 16:43,729.7,9.57,NORMAL
9/27/2024 16:58,727.29,9.62,NORMAL
9/27/2024 17:13,724.87,11.64,NORMAL
9/27/2024 17:28,722.43,9.75,NORMAL
9/27/2024 17:43,719.98,9.83,NORMAL
9/27/2024 17:58,717.5,9.91,NORMAL
9/27/2024 18:13,715,9.99,NORMAL
9/27/2024 18:28,712.48,10.07,NORMAL
9/27/2024 18:43,709.94,10.16,NORMAL
